Date/Time,CORE_BOTTOM:Zone People Occupant Count [](Hourly),CORE_MID:Zone People Occupant Count [](Hourly),CORE_TOP:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_TOP_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_BOT_ZN_4:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_3:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_2:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_1:Zone People Occupant Count [](Hourly),PERIMETER_MID_ZN_4:Zone People Occupant Count [](Hourly),CORE_BOTTOM:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_MID:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_TOP:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_TOP_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_BOT_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_3:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_2:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),PERIMETER_MID_ZN_4:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 10/15  11:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,9.49528542331005,9.90879614048268,9.835148895069196,9.52535586349624,7.242336579563751,6.422166005735977,9.417258038204514,9.311966488583023,7.299765433347503,5.4449317888580099,8.998698257165652,9.563717265760497,6.231558711055375,5.966290803681505,9.51642472577687 
 10/15  12:00:00,27.185487702865307,27.185487702865307,27.185487702865307,5.730939391014644,3.6281586936349727,5.730939391014644,3.6279207035599527,5.730939391014644,3.6281586936349727,5.730939391014644,3.6279207035599527,5.730939391014644,0.0,5.730939391014644,3.6279207035599527,9.211182724636929,9.763217093377085,9.453304200947786,8.992192337847938,7.820119729099136,5.290635695144128,8.854061010878996,8.986726165440773,7.705708188241907,5.997117660299537,8.650310057309702,9.204805728315746,6.261656326292946,5.1109618221827379,9.100425816238909 
 10/15  13:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,9.068489569721088,9.541825970992518,9.07473337832063,8.587651718529245,7.739826408274159,5.028523340676351,8.40481381055588,8.746603888202542,7.688706296029366,5.917901436644911,8.396044283991886,8.920254917337495,5.818375972626818,5.07921015220235,8.757038142035628 
 10/15  14:00:00,51.652426635444069,51.652426635444069,51.652426635444069,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,6.893501517906446,10.888784842927822,6.89304933676391,10.888784842927822,0.0,10.888784842927822,6.89304933676391,8.9439953821524,9.282552263216872,8.766673958928806,8.273950026295582,7.618069442851213,5.134482290878871,7.351719581934738,8.546507105525848,7.649348236149355,5.634325200321169,7.670975043486187,8.670739743124166,6.369116570623599,5.251919076172245,7.705494559663914 
 10/15  15:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,8.776745419459857,9.08852080573645,8.560843466477387,8.090294220442978,7.575746512215225,5.083897972998926,6.141111212274876,8.401665341059497,7.627847723821468,5.624412676700733,6.645692121634887,8.502067571977144,5.871070860056617,5.16391304847961,6.407119844907295 
 10/15  16:00:00,50.29173211288349,50.29173211288349,50.29173211288349,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,10.601938495946215,6.7119040525466719,10.601938495946215,6.711463783340204,8.570546230703818,8.977746182289435,8.442902935293679,7.9917752759291409,7.597979047768554,5.05979512688999,5.5268157895665459,8.282204929943978,7.620050245716338,5.312579010948933,5.952043312327004,8.423163113614569,5.806999013000303,5.035210625906039,5.666952913381263 
 10/15  17:00:00,15.881599614594786,15.881599614594786,15.881599614594786,3.347980577667226,2.1195486481726335,3.347980577667226,2.119409615791643,3.347980577667226,2.1195486481726335,3.347980577667226,2.119409615791643,3.347980577667226,2.1195486481726335,3.347980577667226,2.119409615791643,8.582255048221065,9.248659714127415,8.754831569732355,8.290008266325792,7.966968110117366,6.322675544061364,5.596163649139053,8.449793683769146,7.852573624997649,6.02880654914776,5.696485817740336,8.694071870792607,5.3469981927046439,6.222067254951642,5.7348143724482318 
 10/15  18:00:00,5.293866538198262,5.293866538198262,5.293866538198262,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,9.161618261880174,9.62992610376771,9.21357748896886,8.869001825863976,8.587920858528904,7.676185078219302,6.752386183102163,8.881213217151555,8.313650451489613,5.4809669442822399,6.700644863133763,9.195183750143995,5.0276532411171,7.864006296331003,6.96976718982566 
 10/15  19:00:00,5.293866538198262,5.293866538198262,5.293866538198262,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,9.540597320416453,9.903769647755573,9.667190109776796,9.463169001095152,9.185191066294307,8.458614530899773,8.39107317055579,9.341339806369384,8.779006219302703,6.951367678845678,8.073268682928737,9.677236489158448,5.270789304307381,8.571382225157498,8.580472088157239 
 10/15  20:00:00,5.293866538198262,5.293866538198262,5.293866538198262,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,9.750814963478348,10.11941996690473,10.047421505985624,9.970135601075527,9.67733021501575,9.050753840324762,9.135551193874079,9.655534804059764,9.10430186547436,7.67926461714278,8.61194924396528,10.040085843108012,5.780912030310432,9.053541890643892,9.21284898351159 
 10/15  21:00:00,5.293866538198262,5.293866538198262,5.293866538198262,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,1.1159935258890757,0.7065162160575444,1.1159935258890757,0.7064698719305477,9.953376220113233,10.259946770027702,10.322338636161656,10.408132996088114,10.160033723294975,9.586502982451793,9.748950603969157,9.972510780219475,9.410681482990514,8.072331938182849,9.028826315664164,10.356997695427632,6.400621086405704,9.48535886975129,9.703689847774868 
 10/15  22:00:00,2.646933269099131,2.646933269099131,2.646933269099131,0.5579967629445378,0.3532581080287722,0.5579967629445378,0.35323493596527386,0.5579967629445378,0.3532581080287722,0.5579967629445378,0.35323493596527386,0.5579967629445378,0.3532581080287722,0.5579967629445378,0.35323493596527386,15.641205374215396,14.298440867603859,14.94283956190349,17.259844970590604,19.46780976935068,15.062723644435707,19.42384553172162,13.907725030939197,14.874722286704639,9.139662991548578,14.085656818372988,16.09210928359388,7.144887057705148,13.977298876682893,18.608190739282248 
 10/15  23:00:00,2.646933269099131,2.646933269099131,2.646933269099131,0.5579967629445378,0.3532581080287722,0.5579967629445378,0.35323493596527386,0.5579967629445378,0.3532581080287722,0.5579967629445378,0.35323493596527386,0.5579967629445378,0.3532581080287722,0.5579967629445378,0.35323493596527386,19.579404147380058,17.785382968133587,19.45709101183464,23.38133510647238,26.94790514413751,20.41913573154286,27.169705188883304,17.196075755072508,18.959141531167714,10.538115247128362,18.02646692383469,21.0140385527482,8.14425394634388,18.266729394274078,25.507216574430755 
 10/15  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.244590208413233,19.029690734694957,21.457053940354837,25.852263080552093,29.373722351187323,22.899216195784534,29.685514069206574,18.28951036393608,19.932479536955588,11.212343975370282,19.108018509767068,22.805955519244124,9.3572050820213,20.11398440308745,27.443500081915319 
